place_fips,place_name,full_fips,county_name,% difference
4827000,Fort Worth city,48439,Tarrant County,92.05
2179590,Vicco city,21193,Perry County,92.04
1721254,Dupo village,17163,St. Clair County,92.00
4811428,Burleson city,48251,Johnson County,91.99
4739560,Kingsport city,47163,Sullivan County,91.96
1745993,Madison city,17119,Madison County,91.95
3770720,Wallace town,37061,Duplin County,91.85
3919344,Creston village,39169,Wayne County,91.84
1363728,Ray City city,13019,Berrien County,91.79
5506300,Belleville village,55025,Dane County,91.74
4853232,Oakwood town,48289,Leon County,91.74
1718992,Deerfield village,17097,Lake County,91.72
2929422,Greentop city,29197,Schuyler County,91.68
4833020,Hebron town,48121,Denton County,91.64
4819984,Denver City town,48501,Yoakum County,91.61
4560280,Ridgeland town,45053,Jasper County,91.55
2668380,Richmond city,26099,Macomb County,91.54
5528675,Genoa City village,55127,Walworth County,91.50
1980805,Victor city,19095,Iowa County,91.46
1371660,Social Circle city,13297,Walton County,91.44
3728200,Grifton town,37147,Pitt County,91.40
2927208,Glasgow city,29089,Howard County,91.39
120104,Decatur city,01103,Morgan County,91.36
3731360,Highlands town,37113,Macon County,91.33
4845096,Luling city,48055,Caldwell County,91.31
5127440,Farmville town,51147,Prince Edward County,91.30
1778149,Virden city,17117,Macoupin County,91.25
121184,Dothan city,01069,Houston County,91.20
5133488,Grottoes town,51165,Rockingham County,90.95
1713074,Cherry Valley village,17201,Winnebago County,90.94
4507255,Blythewood town,45079,Richland County,90.73
4813492,Cedar Hill city,48113,Dallas County,90.70
4811212,Bullard town,48423,Smith County,90.61
145496,McKenzie town,01013,Butler County,90.60
4174950,Tualatin city,41067,Washington County,90.60
2966368,Scott City city,29201,Scott County,90.59
4162250,Rivergrove city,41005,Clackamas County,90.53
2961562,Richland city,29169,Pulaski County,90.50
1907075,Blue Grass city,19163,Scott County,90.40
4763140,Ridgetop city,47147,Robertson County,90.38
2210075,Broussard city,22055,Lafayette Parish,90.35
1701569,Annawan town,17073,Henry County,90.29
5158696,Occoquan town,51153,Prince William County,90.25
2923086,Excelsior Springs city,29047,Clay County,90.24
4869032,Southlake city,48439,Tarrant County,90.21
5556450,Newburg village,55131,Washington County,90.18
1783245,Woodridge village,17043,DuPage County,90.16
4606620,Box Elder city,46103,Pennington County,90.05
4819000,Dallas city,48113,Dallas County,90.04
1947730,Lytton city,19161,Sac County,90.02
132704,Haleyville city,01133,Winston County,90.00
4817000,Corpus Christi city,48355,Nueces County,90.00
1309040,Blythe city,13245,Richmond County,89.99
2958394,Pleasant Hill city,29037,Cass County,89.98
4847892,Mesquite city,48113,Dallas County,89.91
4879696,Windthorst town,48009,Archer County,89.90
4817612,Creedmoor city,48453,Travis County,89.89
557950,Quitman city,05023,Cleburne County,89.88
4806128,Baytown city,48201,Harris County,89.83
1720318,Donnellson village,17135,Montgomery County,89.79
1725531,Farmington city,17057,Fulton County,89.75
4269336,Seven Springs borough,42111,Somerset County,89.73
4182800,Wilsonville city,41005,Clackamas County,89.69
4810828,Bruceville-Eddy city,48309,McLennan County,89.58
1015440,Clayton town,10001,Kent County,89.55
5568900,Rockland village,55063,La Crosse County,89.52
4670140,Wessington city,46005,Beadle County,89.46
3701720,Archdale city,37151,Randolph County,89.45
1707770,Braidwood city,17197,Will County,89.44
3945542,Lynchburg village,39071,Highland County,89.31
1727533,Fox River Grove village,17111,McHenry County,89.30
4856468,Pecan Gap city,48119,Delta County,89.22
4775160,Trimble town,47045,Dyer County,89.21
2657760,Niles city,26021,Berrien County,89.19
4504300,Batesburg-Leesville town,45063,Lexington County,89.18
2763778,Swanville city,27097,Morrison County,89.17
5160488,Pamplin City town,51011,Appomattox County,89.16
1742795,Lemont village,17031,Cook County,89.12
4848072,Midland city,48329,Midland County,89.11
5512225,Cambridge village,55025,Dane County,89.04
1309068,Bogart town,13219,Oconee County,88.73
2955244,Osage Beach city,29029,Camden County,88.71
1830594,Hamilton town,18151,Steuben County,88.68
4760280,Portland city,47165,Sumner County,88.68
808675,Brighton city,08001,Adams County,88.66
1763420,Reynolds village,17161,Rock Island County,88.61
4744940,McKenzie city,47017,Carroll County,88.60
4006400,Bixby city,40143,Tulsa County,88.59
4730280,Grand Junction city,47069,Hardeman County,88.40
5522300,Eau Claire city,55035,Eau Claire County,88.37
2937000,Jefferson City city,29051,Cole County,88.36
2736746,Le Sueur city,27079,Le Sueur County,88.36
5576625,Stanley city,55017,Chippewa County,88.36
454050,Peoria city,04013,Maricopa County,88.33
2755006,Rockford city,27171,Wright County,88.32
2758612,Sartell city,27145,Stearns County,88.22
134024,Helena city,01117,Shelby County,88.13
3936918,Hunting Valley village,39035,Cuyahoga County,88.13
2955910,Pacific city,29071,Franklin County,88.12
4764668,Rocky Top city,47001,Anderson County,88.00
4813552,Cedar Park city,48491,Williamson County,87.98
1987690,Zwingle city,19061,Dubuque County,87.95
1773170,Streator city,17099,LaSalle County,87.89
4075000,Tulsa city,40143,Tulsa County,87.87
3701400,Angier town,37085,Harnett County,87.86
4815436,Cleveland city,48291,Liberty County,87.84
2224565,Eunice city,22097,St. Landry Parish,87.77
4873724,Troup city,48423,Smith County,87.77
512280,Cave City city,05135,Sharp County,87.74
4813684,Celina city,48085,Collin County,87.67
4839124,Kilgore city,48183,Gregg County,87.67
4876576,Warren City city,48183,Gregg County,87.59
2831020,Hattiesburg city,28035,Forrest County,87.51
1347896,Lula city,13139,Hall County,87.48
4853388,Odessa city,48135,Ector County,87.48
4131050,Greenhorn city,41001,Baker County,87.43
3917036,Columbiana city,39029,Columbiana County,87.40
3944310,Lockbourne village,39049,Franklin County,87.26
4775320,Tullahoma city,47031,Coffee County,87.22
4701640,Ardmore city,47055,Giles County,87.21
5522575,Edgerton city,55105,Rock County,87.15
2980350,Windsor city,29083,Henry County,87.14
5506925,Berlin city,55047,Green Lake County,87.12
4856348,Pearland city,48039,Brazoria County,87.03
1972525,Shenandoah city,19145,Page County,86.96
2125552,Eubank city,21199,Pulaski County,86.93
3979898,Verona village,39135,Preble County,86.88
141968,Leeds city,01073,Jefferson County,86.83
4877620,Westlake town,48439,Tarrant County,86.82
3603001,Attica village,36121,Wyoming County,86.81
854330,Northglenn city,08001,Adams County,86.72
4820020,Deport city,48277,Lamar County,86.65
4834862,Horseshoe Bay city,48299,Llano County,86.62
1933060,Grimes city,19153,Polk County,86.59
4632020,Iroquois city,46077,Kingsbury County,86.55
502470,Ash Flat city,05135,Sharp County,86.53
2816460,Crenshaw town,28107,Panola County,86.46
1765806,Roselle village,17043,DuPage County,86.44
2452825,Millington town,24029,Kent County,86.44
4865600,San Marcos city,48209,Hays County,86.42
4866428,Seagoville city,48113,Dallas County,86.33
3832300,Grandin city,38017,Cass County,86.29
4223304,Ellwood City borough,42073,Lawrence County,86.27
2918658,Dearborn city,29165,Platte County,86.25
3601440,Almond village,36003,Allegany County,86.19
5549675,Marshfield city,55141,Wood County,86.16
1911305,Cascade city,19061,Dubuque County,86.16
2923077,Excelsior Estates village,29177,Ray County,86.15
4164900,Salem city,41047,Marion County,86.15
