origin_statefips,origin_countyfips,dest_statefips,dest_countyfips,dest_stateabbr,dest_countyname,n_returns,n_individuals,adj_grossincome
45,5,45,5,SC,Allendale County Non-migrants,2501,4765,99820
45,5,45,11,SC,Barnwell County,30,73,913
45,5,45,49,SC,Hampton County,26,49,665
45,5,32,3,NV,Clark County,23,24,174
45,7,45,7,SC,Anderson County Non-migrants,70328,149063,4555510
45,7,45,45,SC,Greenville County,1159,2188,64802
45,7,45,77,SC,Pickens County,599,1153,31490
45,7,45,73,SC,Oconee County,247,472,13828
45,7,45,83,SC,Spartanburg County,173,347,8026
45,7,45,1,SC,Abbeville County,126,273,5027
45,7,45,47,SC,Greenwood County,77,136,3515
45,7,45,59,SC,Laurens County,76,146,3220
45,7,45,79,SC,Richland County,60,104,2441
45,7,45,63,SC,Lexington County,51,92,2632
45,7,45,51,SC,Horry County,48,88,1130
45,7,37,119,NC,Mecklenburg County,43,68,2073
45,7,45,19,SC,Charleston County,39,69,3643
45,7,13,147,GA,Hart County,32,57,1691
45,7,45,13,SC,Beaufort County,30,53,2504
45,7,45,15,SC,Berkeley County,28,47,1909
45,7,37,21,NC,Buncombe County,26,37,975
45,7,45,91,SC,York County,24,46,1335
45,7,13,121,GA,Fulton County,22,38,1160
45,7,45,35,SC,Dorchester County,22,33,819
45,9,45,9,SC,Bamberg County Non-migrants,4086,8204,183927
45,9,45,75,SC,Orangeburg County,66,146,1735
45,9,45,11,SC,Barnwell County,42,84,1252
45,9,45,79,SC,Richland County,28,58,1302
45,9,45,3,SC,Aiken County,20,37,739
45,11,45,11,SC,Barnwell County Non-migrants,6718,13888,339057
45,11,45,3,SC,Aiken County,123,240,5535
45,11,45,79,SC,Richland County,36,67,873
45,11,45,9,SC,Bamberg County,35,68,1308
45,11,45,63,SC,Lexington County,26,52,1359
45,11,45,75,SC,Orangeburg County,25,54,783
45,11,45,5,SC,Allendale County,20,45,831
45,13,45,13,SC,Beaufort County Non-migrants,68357,134639,6975010
45,13,45,53,SC,Jasper County,561,1068,31979
45,13,13,51,GA,Chatham County,264,435,15295
45,13,45,19,SC,Charleston County,203,317,16921
45,13,6,73,CA,San Diego County,135,317,7573
45,13,37,133,NC,Onslow County,124,329,6366
45,13,45,45,SC,Greenville County,104,182,11428
45,13,37,119,NC,Mecklenburg County,90,146,13783
45,13,57,5,FR,Foreign - APO/FPO ZIPs,86,222,5191
45,13,45,79,SC,Richland County,84,153,4353
45,13,45,15,SC,Berkeley County,80,136,4479
45,13,13,103,GA,Effingham County,62,135,4931
45,13,45,49,SC,Hampton County,59,120,2365
45,13,13,121,GA,Fulton County,58,89,10914
45,13,45,63,SC,Lexington County,56,96,4094
45,13,12,31,FL,Duval County,54,95,3132
45,13,45,3,SC,Aiken County,52,98,4888
45,13,17,31,IL,Cook County,50,79,9764
